id,value,altitude,measurement_id
0,8.87204,190.6000064192,1
1,8.88361,190.1000064032,1
2,8.89083,189.6000063872,1
3,8.89806,188.8000063616,1
4,8.90529,188.2000063424,1
5,8.91396,187.6000063232,1
6,8.92263,187.3000063136,1
7,8.93419,186.9000063008,1
8,8.94575,186.500006288,1
9,8.95586,186.000006272,1
10,8.96887,185.6000062592,1
11,8.97898,185.1000062432,1
12,8.99198,184.500006224,1
13,9.00787,184.000006208,1
14,9.02376,183.500006192,1
15,9.0382,183.000006176,1
16,9.05119,182.50000616,1
17,9.0613,181.9000061408,1
18,9.06708,181.4000061248,1
19,9.06996,180.8000061056,1
20,9.07141,180.3000060896,1
21,9.07141,179.7000060704,1
22,9.06996,179.4000060608,1
23,9.06852,179.1000060512,1
24,9.06708,178.6000060352,1
25,9.06563,178.3000060256,1
26,9.06275,178.000006016,1
27,9.05986,177.500006,1
28,9.05841,177.000005984,1
29,9.05553,176.6000059712,1
30,9.05408,176.1000059552,1
31,9.05264,175.6000059392,1
32,9.05264,175.2000059264,1
33,9.05119,174.7000059104,1
34,9.05119,174.2000058944,1
35,9.04975,173.500005872,1
36,9.04975,172.8000058496,1
37,9.04975,172.1000058272,1
38,9.04975,171.8000058176,1
39,9.05553,171.4000058048,1
40,9.0613,170.9000057888,1
41,9.06852,170.2000057664,1
42,9.07718,169.500005744,1
43,9.08585,168.9000057248,1
44,9.09451,168.4000057088,1
45,9.10028,167.9000056928,1
46,9.10894,167.50000568,1
47,9.1176,166.9000056608,1
48,9.12482,166.3000056416,1
49,9.13059,165.9000056288,1
50,9.13637,165.500005616,1
51,9.14502,165.0000056,1
52,9.15368,164.500005584,1
53,9.16378,164.2000055744,1
54,9.17389,163.7000055584,1
55,9.18543,163.2000055424,1
56,9.19841,162.8000055296,1
57,9.20995,162.2000055104,1
58,9.22294,161.7000054944,1
59,9.23448,161.1000054752,1
60,9.24601,160.6000054592,1
61,9.25611,160.00000544,1
62,9.2662,159.500005424,1
63,9.27342,159.000005408,1
64,9.28063,158.4000053888,1
65,9.28783,158.000005376,1
66,9.2936,157.50000536,1
67,9.29937,157.3000053536,1
68,9.30514,156.8000053376,1
69,9.3109,156.4000053248,1
70,9.31667,155.9000053088,1
71,9.32676,155.4000052928,1
72,9.33541,154.8000052736,1
73,9.3455,154.3000052576,1
74,9.35703,153.8000052416,1
75,9.36856,153.3000052256,1
76,9.38009,152.8000052096,1
77,9.39306,152.1000051872,1
78,9.40459,151.6000051712,1
79,9.41468,151.1000051552,1
80,9.42332,150.6000051392,1
81,9.43052,150.1000051232,1
82,9.43485,149.6000051072,1
83,9.43917,149.000005088,1
84,9.44349,148.500005072,1
85,9.44637,148.1000050592,1
86,9.44925,147.6000050432,1
87,9.45069,147.1000050272,1
88,9.45213,146.500005008,1
89,9.45357,146.000004992,1
90,9.45357,145.4000049728,1
91,9.45357,144.9000049568,1
92,9.45213,144.4000049408,1
93,9.45069,143.8000049216,1
94,9.44925,143.2000049024,1
95,9.44637,142.9000048928,1
96,9.44349,142.50000488,1
97,9.44349,142.1000048672,1
98,9.44061,141.7000048544,1
99,9.43917,141.3000048416,1
100,9.43629,140.9000048288,1
101,9.43485,140.500004816,1
102,9.43196,140.1000048032,1
103,9.43052,139.7000047904,1
104,9.42908,139.000004768,1
105,9.42764,138.4000047488,1
106,9.4262,137.8000047296,1
107,9.4262,137.3000047136,1
108,9.42764,136.8000046976,1
109,9.42908,136.3000046816,1
110,9.43052,135.8000046656,1
111,9.4334,135.2000046464,1
112,9.43485,134.6000046272,1
113,9.43773,134.1000046112,1
114,9.44061,133.500004592,1
115,9.44493,133.000004576,1
116,9.44781,132.50000456,1
117,9.45213,132.000004544,1
118,9.45501,131.7000045344,1
119,9.45789,131.3000045216,1
120,9.46222,130.9000045088,1
121,9.4651,130.3000044896,1
122,9.46798,129.8000044736,1
123,9.47086,129.3000044576,1
124,9.47374,128.8000044416,1
125,9.47518,128.4000044288,1
126,9.47374,128.1000044192,1
127,9.46942,127.7000044064,1
128,9.4651,127.1000043872,1
129,9.45934,126.6000043712,1
130,9.45645,126.000004352,1
131,9.45645,125.6000043392,1
132,9.45645,125.3000043296,1
133,9.45501,124.8000043136,1
134,9.45213,124.500004304,1
135,9.44349,124.2000042944,1
136,9.43917,123.8000042816,1
137,9.43629,123.4000042688,1
138,9.43485,122.9000042528,1
139,9.43485,122.3000042336,1
140,9.43196,121.7000042144,1
141,9.42908,121.3000042016,1
142,9.41468,120.6000041792,1
143,9.38874,119.9000041568,1
144,9.36136,119.3000041376,1
145,9.33685,118.9000041248,1
146,9.321,118.500004112,1
147,9.30802,117.9000040928,1
148,9.29793,117.3000040736,1
149,9.28207,116.6000040512,1
150,9.25755,116.000004032,1
151,9.22582,115.6000040192,1
152,9.18976,115.2000040064,1
153,9.14791,114.8000039936,1
154,9.09739,114.2000039744,1
155,9.04253,113.7000039584,1
156,8.98765,113.2000039424,1
157,8.93274,112.7000039264,1
158,8.8677,112.2000039104,1
159,8.7983,111.8000038976,1
160,8.72163,111.2000038784,1
161,8.64637,110.6000038592,1
162,8.57541,110.00000384,1
163,8.50732,109.4000038208,1
164,8.4421,108.9000038048,1
165,8.3783,108.4000037888,1
166,8.31593,108.000003776,1
167,8.25207,107.50000376,1
168,8.19691,107.000003744,1
169,8.14607,106.500003728,1
170,8.09813,106.000003712,1
171,8.05162,105.4000036928,1
172,8.0051,104.8000036736,1
173,7.96001,104.4000036608,1
174,7.92365,104.000003648,1
175,7.89309,103.500003632,1
176,7.86398,103.000003616,1
